algoritmo,n,tempo_medio

InsertionSort,10000,19323

BubbleSort,10000,159060

SequentialSearch,10000,40

BinarySearch,10000,1


InsertionSort,20000,78625

BubbleSort,20000,600224

SequentialSearch,20000,80

BinarySearch,20000,1


InsertionSort,50000,470997

BubbleSort,50000,2277344

SequentialSearch,50000,115

BinarySearch,50000,1


InsertionSort,80000,612895

BubbleSort,80000,5040573

SequentialSearch,80000,163

BinarySearch,80000,1


InsertionSort,100000,971837

BubbleSort,100000,8901202

SequentialSearch,100000,204

BinarySearch,100000,1

